short_name,authors,authors_in-text,title,secondary_title,year,month,day,volume,issue,pages,url,focus,comments,sort_name
"United States Department of State, 1994",United States Department of State,United States Department of State,Patterns of Global Terrorism: 1993,,1994,,,,,,http://www.heinonline.org/HOL/Page?handle=hein.intyb/patgloter0011&collection=intyb&index&id=2,"Mentions broader pattern, 1.1990-03 (K. Rajavi), 1.1991-04 (Bakhtiar ’91), probably 1.1992-03 (Ghorbani), 1.1992-08 (Sharafkandi), probably 1.1992-09 (Gholizadeh), possibly 1.1993-02 (Narou’i), probably 1.1993-03 (Naghdi), probably 1.1993-04 (Arbab), probably 1.1993-05 (Ghaderi) and 1.1993-06 (Azadfar)",,"United States Department of State, 1994"
"United States Department of State, 1995",United States Department of State,United States Department of State,Patterns of Global Terrorism: 1994,,1995,,,,,,http://www.heinonline.org/HOL/Page?handle=hein.intyb/patgloter0012&size=2&collection=intyb&id=1,"Mentions broader pattern, 1.1991-04 (Bakhtiar ‘91), 1.1994-01 (Kermanj), possibly 1.1994-02 (Bokani), 1.1994-03 (A. Hedayati), 1.1994-05 (Mojahedin ’94), 1.1994-06 (Amini), possibly 1.1994-07 (Hamze’i), 1.1994-08 (Assadi)",,"United States Department of State, 1995"
"United States Department of State, 1996",United States Department of State,United States Department of State,Patterns of Global Terrorism: 1995,,1996,,,,,,http://www.heinonline.org/HOL/Page?handle=hein.intyb/patgloter0013&size=2&collection=intyb&id=1,"Mentions broader pattern, 1.1991-04 (Bakhtiar ‘91), 1.1994-06 (Amini), 1.1995-02 (Mojahedin ’95), 1.1995-03 (Komelah), 1.1995-04 (Adidi), 1.1995-05 (Abdollahi)",,"United States Department of State, 1996"
"[Untitled article], 1987",,,[Untitled article],Los Angeles Times,1987,7,19,,,,http://search.proquest.com/docview/292574930,Focuses on 1.1987-04 (Amir-Parviz),,"Untitled article, 1987"
"Vinocur, 1984","Vinocur, John",Vinocur,Exiled Iranian General Is Killed With Brother By Gunmen in Paris,New York Times,1984,2,8,,,,http://search.proquest.com/docview/424898105,Focuses on 1.1984-01 (Oveissi),,"Vinocur, 1984"
"Walsh, 1980","Walsh, Lionel",Walsh,Iran Denies Try to Kill Bakhtiar,Boston Globe,1980,7,20,,,,http://search.proquest.com/news/docview/1010011048/,Focuses on 1.1980-01 (Bakhtiar ‘80),,"Walsh, 1980"
"Washington Post Service, 1980, ""Assassination""",Washington Post Service,Washington Post Service,Assassination Bid Worsens Iran-Iraq Links,Hartford Courant,1980,4,3,,,,http://search.proquest.com/docview/546029604/,Focuses on assassination attempt against Tariq Aziz | Mentions 1.1979-01 (Shafigh) | Mentions activities of Bakhtiar and Oveissi,,"Washington Post Service, 1980, Assassination"
"Washington Post Service, 1980, ""Slay""",Washington Post Service,Washington Post Service,Slay Suspect Believer in Iran Regime,Hartford Courant,1980,7,25,,,,http://search.proquest.com/news/docview/546094557/,Focuses on 1.1980-02 (Tabatabai),,"Washington Post Service, 1980, Slay"
"Waxman, 1991","Waxman, Sharon",Waxman,Judge’s Pursuit of Terrorists Annoys the French Government,Chicago Tribune,1991,11,15,,,,http://search.proquest.com/news/docview/1616143111/,"Mentions 1.1991-04 (Bakhtiar ‘91), 1.1980-01 (Bakhtiar ‘80)",,"Waxman, 1991"
"Weintraub, 1987","Weintraub, Richard M.",Weintraub,Militant New Force Complicates Pakistan’s Politics,Ottawa Citizen,1987,8,5,,,,http://search.proquest.com/docview/239131296,Focuses on 1.1987-03 (Pourshafizadeh),,"Weintraub, 1987"
"Weisman, 1987","Weisman, Steven R.",Weisman,"In Fractured Land, Sunnis and Shiites Add Cracks",New York Times,1987,9,10,,,,http://search.proquest.com/docview/426629293,Mentions 1.1987-03 (Pourshafizadeh),,"Weisman, 1987"
"""Widow,"" 1980",,,Widow Bares Shah’s Death Wish: Iran ‘Liberation’ From Ayatollah,Atlanta Constitution,1980,8,2,,,,http://search.proquest.com/docview/1613344630,"Mentions 1.1980-03 (Shah-Rais), 1.1980-02 (Tabatabai)",,"Widow, 1980"
"""Widow,"" 1993",,,Widow of Iranian Dissident Blames Teheran in His Death,New York Times,1993,2,10,,,,http://search.proquest.com/docview/428928013,Focuses on 1.1992-03 (Ghorbani),,"Widow, 1993"
"Yeranian, 2010","Yeranian, Edward",Yeranian,Iran Gives Hero’s Welcome to Killer of Former Prime Minister Shapour Bakhtiar,Voice of America,2010,5,19,,,,http://www.voanews.com/english/news/europe/Iran-Gives-Heros-Welcome-to-Killer-of-Former-Prime-Minister-Shapour-Bakhtiar.html,Focuses on 1.1991-04 (Bakhtiar ‘91) | Mentions 1.1980-01 (Bakhtiar ‘80),,"Yeranian, 2010"
"Zuckerman and Keppel, 1980","Zuckerman, Steven; Keppel, Bruce",Zuckerman and Keppel,FBI Investigating L.A. Attempt to Kill Khomeini Foe,Los Angeles Times,1980,8,2,,,,http://search.proquest.com/docview/162932303,Focuses on 1.1980-03 (Shah-Rais) | Mentions 1.1980-02 (Tabatabai),,"Zuckerman and Keppel, 1980"
"Zuckerman, 1980","Zuckerman, Steven",Zuckerman,L.A. Iranians Arming in Fear,Los Angeles Times,1980,9,6,,,,http://search.proquest.com/news/docview/162978137/,"Focuses on 1.1980-03 (Shah-Rais) | Mentions 1.1980-02 (Tabatabai), 1.1980-01 (Bakhtiar ‘80), 1.1979-01 (Shafigh) | Alludes to broader pattern",,"Zuckerman, 1980"
